"Week","Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"14/07/2025 - 20/07/2025","TFG","(Without client)","S0 - Anteproyecto: Comparativa de tecnologías","02:49:11","2.82","0.00"
"14/07/2025 - 20/07/2025","TFG","(Without client)","S0 - Anteproyecto: Investigación sobre frameworks","04:43:23","4.72","0.00"
"21/07/2025 - 27/07/2025","TFG","(Without client)","S0 - Anteproyecto: Definición idea general y arquitectura","05:31:02","5.52","0.00"
"21/07/2025 - 27/07/2025","TFG","(Without client)","S0 - Anteproyecto: Primer planteamiento de historias de usuario","01:26:10","1.44","0.00"
"21/07/2025 - 27/07/2025","TFG","(Without client)","S0 - Anteproyecto: Redacción de anteproyecto","03:54:09","3.90","0.00"
"28/07/2025 - 03/08/2025","TFG","(Without client)","S0 - Reunion 28/07/2025","00:49:12","0.82","0.00"
"28/07/2025 - 03/08/2025","TFG","(Without client)","S0 - Reunión: Revisión de anteproyecto y definición Sprint 0","00:56:22","0.94","0.00"
"04/08/2025 - 10/08/2025","TFG","(Without client)","S1 - Infraestructura: Documento con la política de commits, branching y organización de tareas","02:09:05","2.15","0.00"
"04/08/2025 - 10/08/2025","TFG","(Without client)","S1 - Infraestructura: Investigación sobre el framework RASA","01:11:25","1.19","0.00"
"04/08/2025 - 10/08/2025","TFG","(Without client)","S1 - Infraestructura: Repositorio y producto mínimo viable","03:08:31","3.14","0.00"
"11/08/2025 - 17/08/2025","TFG","(Without client)","S1 - Documentación: Sprint Backlog","01:32:16","1.54","0.00"
"11/08/2025 - 17/08/2025","TFG","(Without client)","S1 - Documentación: Sprint Planning","00:49:57","0.83","0.00"
"11/08/2025 - 17/08/2025","TFG","(Without client)","S1 - Infraestructura: Comparación de tecnologías diferentes","04:00:30","4.01","0.00"
"18/08/2025 - 24/08/2025","TFG","(Without client)","S1 - Documentación: Sprint Backlog","00:43:17","0.72","0.00"
"15/09/2025 - 21/09/2025","TFG","(Without client)","S2 - Documentación: Editar Anteproyecto y arreglos","02:13:37","2.23","0.00"
"22/09/2025 - 28/09/2025","TFG","(Without client)","Reunión 22/09/2025","00:41:42","0.70","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Desarrollo: Arreglar consultas con filtros ( mostrar todas )","02:30:20","2.51","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Desarrollo: Arreglar respuestas del chatbot","02:43:19","2.72","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Desarrollo: Añadir contexto de dominio para un sistema escalable","02:34:12","2.57","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Desarrollo: Añadir intentos generales para mostrar capacidades del bot","04:27:21","4.46","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Desarrollo: Cambios en varias entidades para pruebas con la epica ''Asignaturas''","02:13:29","2.22","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Desarrollo: Esquema inicial de la base de datos","01:28:05","1.47","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Desarrollo: Inserción inicial de datos usando IA","02:08:34","2.14","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Desarrollo: Interfaz inicial","01:53:02","1.88","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Desarrollo: Limpiar código y refactorización","01:13:00","1.22","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Desarrollo: Reorganización de código para mejor modulación","01:13:02","1.22","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Desarrollo: Revisar stories y entidades, planning inicial de intents","04:15:10","4.25","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Documentación: Diccionario, Explicación, Datos iniciales, Esquema, Versionado","01:20:07","1.34","0.00"
"29/12/2025 - 04/01/2026","TFG","(Without client)","S2 - Infraestructura: Reorganización por épicas y helpers de contexto","02:57:38","2.96","0.00"
"05/01/2026 - 11/01/2026","TFG","(Without client)","Reunión 08/01/2026","00:32:07","0.54","0.00"
"26/01/2026 - 01/02/2026","TFG","(Without client)","S3 - Desarrollo: Implementación Ollama v2 y pruebas","04:45:13","4.75","0.00"
"26/01/2026 - 01/02/2026","TFG","(Without client)","S3 - Desarrollo: Implementación Ollama y conexión","03:25:23","3.42","0.00"
"02/02/2026 - 08/02/2026","TFG","(Without client)","Reunion 03/02/2026","00:28:36","0.48","0.00"
"09/02/2026 - 15/02/2026","TFG","(Without client)","S4 - Documentación: Documentar instanciando ya la plantillla de TFG lo realizado hasta el momento","03:55:05","3.92","0.00"
"16/02/2026 - 22/02/2026","TFG","(Without client)","S4 - Desarrollo: Vectorización de planes docentes de las asignaturas de ingenieria de software","05:15:10","5.25","0.00"
"16/02/2026 - 22/02/2026","TFG","(Without client)","S4 - Documentación: Documentar instanciando ya la plantillla de TFG lo realizado hasta el momento v2","03:47:00","3.78","0.00"
"23/02/2026 - 01/03/2026","TFG","(Without client)","Reunión 27/02/2026","00:29:03","0.48","0.00"
"23/02/2026 - 01/03/2026","TFG","(Without client)","S4 - Desarrollo: Implementación gemini y cambio de lógica RAG","04:43:52","4.73","0.00"
"09/03/2026 - 15/03/2026","TFG","(Without client)","S5 - Desarrollo: Ejecución de plan de pruebas e implementación de plan de mejoras y fixesv2","04:25:14","4.42","0.00"
"09/03/2026 - 15/03/2026","TFG","(Without client)","S5 - Desarrollo: Ejecución plan de pruebas e implementación de fixes","03:59:12","3.99","0.00"
"09/03/2026 - 15/03/2026","TFG","(Without client)","S5 - Documentación: Plan de pruebas para S5 y fixes","02:28:08","2.47","0.00"
"16/03/2026 - 22/03/2026","TFG","(Without client)","S5 - Desarrollo: Ejecución de plan de pruebas e implementación de plan de mejoras v2","06:51:32","6.86","0.00"
"23/03/2026 - 29/03/2026","TFG","(Without client)","Reunion 25/03/2026","00:42:21","0.71","0.00"
"23/03/2026 - 29/03/2026","TFG","(Without client)","S5 - Desarrollo: Arreglos en frontend y actualización de la memoria","02:43:45","2.73","0.00"
"23/03/2026 - 29/03/2026","TFG","(Without client)","S5 - Desarrollo: Ejecución de plan de pruebas v1/v2","03:15:10","3.25","0.00"
"23/03/2026 - 29/03/2026","TFG","(Without client)","S6 - Desarrollo: Entrenamiento con nuevos casos y arreglos de actions asignaturas","03:17:02","3.28","0.00"
"23/03/2026 - 29/03/2026","TFG","(Without client)","S6 - Desarrollo: Inicio de implementación de la épica Horarios","02:57:39","2.96","0.00"
"23/03/2026 - 29/03/2026","TFG","(Without client)","S6 - Desarrollo: Inserción datos horarios/aulas","02:27:02","2.45","0.00"
"23/03/2026 - 29/03/2026","TFG","(Without client)","S6 - Desarrollo: Script de extraccion de horarios etsii","03:10:40","3.18","0.00"
"23/03/2026 - 29/03/2026","TFG","(Without client)","S6 - Desarrollo: épica Horarios en curso v2","04:22:47","4.38","0.00"
"23/03/2026 - 29/03/2026","TFG","(Without client)","S6 - Desarrollo: épica Horarios en curso","03:23:22","3.39","0.00"
"30/03/2026 - 05/04/2026","TFG","(Without client)","S6 -  Desarrollo: épica profesores en curso","06:23:44","6.40","0.00"
"30/03/2026 - 05/04/2026","TFG","(Without client)","S6 - Desarrollo: Cambiar el frontend para enlazarlo con la pagina real de la US","04:11:08","4.19","0.00"
"30/03/2026 - 05/04/2026","TFG","(Without client)","S6 - Desarrollo: Cambiar lógica de horarios, testing","05:25:16","5.42","0.00"
"30/03/2026 - 05/04/2026","TFG","(Without client)","S6 - Desarrollo: Horarios + aulas + mejoras","03:51:21","3.86","0.00"
"30/03/2026 - 05/04/2026","TFG","(Without client)","S6 - Desarrollo: Mejoras según feedback recibido ( añadir botones, cambiar actions )","05:55:24","5.92","0.00"
"30/03/2026 - 05/04/2026","TFG","(Without client)","S6 - Desarrollo: Scripts scrapping datos profesores","04:24:20","4.41","0.00"
"30/03/2026 - 05/04/2026","TFG","(Without client)","S6 - Desarrollo: épica Horarios mejoras","04:14:44","4.25","0.00"
"30/03/2026 - 05/04/2026","TFG","(Without client)","S6 - Investigación: Buscar fuente de información para la epica de profesores","02:26:47","2.45","0.00"
"30/03/2026 - 05/04/2026","TFG","(Without client)","S6 - Investigación: Mejoras RAG asignaturas","02:29:50","2.50","0.00"
"30/03/2026 - 05/04/2026","TFG","(Without client)","S6 - Ver feedback usuarios y analizar respuestas + fixes","04:05:46","4.10","0.00"
"06/04/2026 - 12/04/2026","TFG","(Without client)","S6 - Desarrollo(Extra): Investigación Interfaz de Admin para mejor control sobre datos almacenados.","06:09:32","6.16","0.00"
"06/04/2026 - 12/04/2026","TFG","(Without client)","S6 - Desarrollo: Añadir posibilidad de añadir centros y titulaciones en pantalla de admin","04:16:11","4.27","0.00"
"06/04/2026 - 12/04/2026","TFG","(Without client)","S6 - Desarrollo: Fix conexión pantalla de admin , pruebas de admin","04:35:38","4.59","0.00"
"06/04/2026 - 12/04/2026","TFG","(Without client)","S6 - Desarrollo: Fix diseño panel admin","04:03:35","4.06","0.00"
"06/04/2026 - 12/04/2026","TFG","(Without client)","S6 - Desarrollo: Mejorar resultados RAG, iniciar panel admin","04:59:02","4.98","0.00"
"06/04/2026 - 12/04/2026","TFG","(Without client)","S6 - Desarrollo: Reentrenar modelo, añadir ejemplos para consultas segun feedback","02:34:00","2.57","0.00"
"06/04/2026 - 12/04/2026","TFG","(Without client)","S6 - Desarrollo: Seguir desarrollando panel de Admin","03:55:12","3.92","0.00"
"06/04/2026 - 12/04/2026","TFG","(Without client)","S6 - Desarrollo: Subir material en DB para panel de admin , vectorización","04:17:38","4.29","0.00"
"06/04/2026 - 12/04/2026","TFG","(Without client)","S6 - Investigación: Buscar fuentes para enriquecer panel de Admin","03:47:00","3.78","0.00"
"13/04/2026 - 19/04/2026","TFG","(Without client)","Reunion 15/04","00:30:00","0.50","0.00"
"13/04/2026 - 19/04/2026","TFG","(Without client)","S6 - Desarrollo: Añadir estadisticas para panel admin","00:53:12","0.89","0.00"
"13/04/2026 - 19/04/2026","TFG","(Without client)","S6 - Desarrollo: Mejoras pantalla admin para un sistema escalable","03:41:48","3.70","0.00"
"13/04/2026 - 19/04/2026","TFG","(Without client)","S7 - Desarrollo: Ejecutar plan de mejoras según feedback y fixes","03:49:48","3.83","0.00"
"13/04/2026 - 19/04/2026","TFG","(Without client)","S7 - Desarrollo: Pantalla admin cambiar extracción de profesores según la página de la US y fixes","05:09:38","5.16","0.00"
"13/04/2026 - 19/04/2026","TFG","(Without client)","S7 - Desarrollo: Pantalla admin fix extracción de horarios y hacer un sistema escalable","04:49:07","4.82","0.00"
"20/04/2026 - 26/04/2026","TFG","(Without client)","S7 - Desarrollo: Añadir flujo CD automático y auth para admins y testing","04:30:50","4.51","0.00"
"20/04/2026 - 26/04/2026","TFG","(Without client)","S7 - Desarrollo: Añadir pruebas normales y de velocidad , empezar reporte de costes","03:58:02","3.97","0.00"
"20/04/2026 - 26/04/2026","TFG","(Without client)","S7 - Desarrollo: Añadir pruebas segun conversaciones reales","02:05:46","2.10","0.00"
"20/04/2026 - 26/04/2026","TFG","(Without client)","S7 - Desarrollo: Añadir/Editar seccion de validación y cierre en la memoria","03:24:10","3.40","0.00"
"20/04/2026 - 26/04/2026","TFG","(Without client)","S7 - Desarrollo: Cambiar lógica de búsqueda RAG (reranking) y pruebas","01:48:44","1.81","0.00"
"20/04/2026 - 26/04/2026","TFG","(Without client)","S7 - Desarrollo: Finalización de testing del bot , trabajo con la memoria","05:25:32","5.43","0.00"
"20/04/2026 - 26/04/2026","TFG","(Without client)","S7 - Desarrollo: Reorganización/Refactorización del proyecto","03:53:26","3.89","0.00"
"20/04/2026 - 26/04/2026","TFG","(Without client)","S7 - Documentación: Trabajo con la memoria del TFG y búsqueda de referencias","05:15:00","5.25","0.00"
"27/04/2026 - 03/05/2026","TFG","(Without client)","Reunion 29/04","00:30:00","0.50","0.00"
"27/04/2026 - 03/05/2026","TFG","(Without client)","S8 - Desarrollo: Refactorización para eslint , trabajo con memoria ( resumen , manuales ...)","05:58:57","5.98","0.00"
"27/04/2026 - 03/05/2026","TFG","(Without client)","S8 - Documentación: Revisión Parte I de la memoria ( y edición)","01:52:54","1.88","0.00"
"27/04/2026 - 03/05/2026","TFG","(Without client)","S8 - Documentación: Revisión Parte II de la memoria (y edición)","02:56:00","2.93","0.00"
